UTC-timeStamp,GazeLeftx,GazeLefty,GazeRightx,GazeRighty,PupilLeft,PupilRight,WorkloadFBDS,WorkloadBDS,WorkloadAverage,Brow Furrow,Brow Raise,Engagement,Lip Corner Depressor,Smile,Valence,Attention,InnerBrowRaise,EyeClosure,NoseWrinkle,UpperLipRaise,LipSuck,LipPress,MouthOpen,ChinRaise,Smirk,LipPucker,Anger,Sadness,Disgust,Joy,Surprise,Fear,Contempt,Cheek Raise,Dimpler,Eye Widen,Lid Tighten,Lip Stretch,Jaw Drop,Battery (mVolts),GSC (mVolts),GSR (kOhms),GSR Quality
20180822_180603996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20180822_180603996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20180822_180604003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4099.794872,1980.952381,77.76775438,VALID
20180822_180604004,970,631,941,617,2.3116,2.279373,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4099.794872,1980.952381,77.76775438,VALID
20180822_180604004,970,631,941,617,2.3116,2.279373,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4099.794872,1980.952381,77.76775438,VALID
20180822_180604012,970,631,941,617,2.3116,2.279373,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4092.512821,1974.358974,77.73510984,VALID
20180822_180604012,970,631,941,617,2.3116,2.279373,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4096.882051,1978.754579,77.80042635,VALID
20180822_180604014,970,631,941,617,2.3116,2.279373,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4096.882051,1978.754579,77.80042635,VALID
20180822_180604014,970,631,941,617,2.3116,2.279373,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4096.882051,1978.754579,77.80042635,VALID
20180822_180604015,970,631,941,617,2.3116,2.279373,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4099.794872,1986.080586,77.76775438,VALID
20180822_180604016,970,631,941,617,2.3116,2.279373,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4099.794872,1986.080586,77.76775438,VALID
20180822_180604016,970,631,941,617,2.3116,2.279373,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4099.794872,1986.080586,77.76775438,VALID
20180822_180604016,970,631,941,617,2.3116,2.279373,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4099.794872,1986.080586,77.76775438,VALID
20180822_180604016,970,631,941,617,2.3116,2.279373,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4099.794872,1986.080586,77.76775438,VALID
20180822_180604020,980,641,947,604,2.25061,2.318436,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4099.794872,1986.080586,77.76775438,VALID
20180822_180604024,980,641,947,604,2.25061,2.318436,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4099.794872,1986.080586,77.76775438,VALID
20180822_180604024,980,641,947,604,2.25061,2.318436,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4099.794872,1986.080586,77.76775438,VALID
20180822_180604028,980,641,947,604,2.25061,2.318436,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4104.164103,1775.091575,77.76775438,VALID
20180822_180604034,980,641,947,604,2.25061,2.318436,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4104.164103,1775.091575,77.76775438,VALID
20180822_180604034,980,641,947,604,2.25061,2.318436,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4104.164103,1775.091575,77.76775438,VALID
20180822_180604037,965,646,939,615,2.222122,2.319519,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4091.05641,1901.831502,77.76775438,VALID
20180822_180604040,965,646,939,615,2.222122,2.319519,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4091.05641,1901.831502,77.76775438,VALID
20180822_180604040,965,646,939,615,2.222122,2.319519,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4091.05641,1901.831502,77.76775438,VALID
20180822_180604042,965,646,939,615,2.222122,2.319519,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4091.05641,1901.831502,77.76775438,VALID
20180822_180604042,965,646,939,615,2.222122,2.319519,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4091.05641,1901.831502,77.76775438,VALID
20180822_180604048,965,646,939,615,2.222122,2.319519,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4091.05641,1901.831502,77.76775438,VALID
20180822_180604048,965,646,939,615,2.222122,2.319519,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4091.05641,1901.831502,77.76775438,VALID
20180822_180604054,938,604,941,608,2.278702,2.258484,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4099.794872,1958.241758,77.76775438,VALID
20180822_180604054,938,604,941,608,2.278702,2.258484,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4101.251282,1757.509158,77.80042635,VALID
20180822_180604056,938,604,941,608,2.278702,2.258484,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4098.338462,1902.564103,77.80042635,VALID
20180822_180604062,938,604,941,608,2.278702,2.258484,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4098.338462,1902.564103,77.80042635,VALID
20180822_180604062,938,604,941,608,2.278702,2.258484,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4098.338462,1902.564103,77.80042635,VALID
20180822_180604070,1002,659,939,613,2.239777,2.254532,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4093.969231,1950.915751,77.80042635,VALID
20180822_180604080,1002,659,939,613,2.239777,2.254532,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4093.969231,1950.915751,77.80042635,VALID
20180822_180604080,1002,659,939,613,2.239777,2.254532,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4093.969231,1950.915751,77.80042635,VALID
20180822_180604088,1002,659,939,613,2.239777,2.254532,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4093.969231,1950.915751,77.80042635,VALID
20180822_180604088,1002,659,939,613,2.239777,2.254532,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4093.969231,1950.915751,77.80042635,VALID
20180822_180604088,1002,659,939,613,2.239777,2.254532,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4093.969231,1950.915751,77.80042635,VALID
20180822_180604088,1002,659,939,613,2.239777,2.254532,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4093.969231,1950.915751,77.80042635,VALID
20180822_180604089,979,615,960,622,2.186218,2.250916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4093.969231,1950.915751,77.80042635,VALID
20180822_180604090,979,615,960,622,2.186218,2.250916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4095.425641,1964.835165,77.80042635,VALID
20180822_180604090,979,615,960,622,2.186218,2.250916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4102.707692,1766.300366,77.80042635,VALID
20180822_180604093,979,615,960,622,2.186218,2.250916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4104.164103,1698.168498,77.86585271,VALID
20180822_180604100,979,615,960,622,2.186218,2.250916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4104.164103,1698.168498,77.86585271,VALID
20180822_180604100,979,615,960,622,2.186218,2.250916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4104.164103,1698.168498,77.86585271,VALID
20180822_180604104,979,615,960,622,2.186218,2.250916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4104.164103,1698.168498,77.86585271,VALID
