HW1,HW2,HW3,Q1,Q2,Q3,Q4,Q5,MidTerm,Final
71,35,85,97.5,60.75,83.33,70,100,35,54
90,100,100,100,88,100,90,100,80.83,88
0,0,0,0,0,0,0,0,0,0
100,100,85,100,87.75,100,100,100,36.67,66
100,100,85,100,97,95,90,100,71.67,84
92,100,100,92.5,100,72.33,40,100,80,85
100,85,85,85,75,79.83,45,100,70.5,77
83,100,100,90,51,75.83,70,90,22.92,54
100,90,85,55,69.75,89.5,85,100,70.83,78
100,84,100,97.5,97,76.67,90,100,77.5,85
97,100,100,100,73,81.17,80,100,73.83,83
100,90,85,95,73,55.5,80,100,49.17,68
94,90,100,90,100,95,100,100,33.33,65
100,100,85,87.5,79,97.5,60,90,60,74
100,100,100,87.5,100,85,80,90,86.67,90
100,100,95,80,82,65.67,50,80,83.83,84
100,100,95,82.5,78,83.83,70,100,44.17,67
100,60,81,100,82,56.17,30,40,17.5,44
100,90,100,100,70,81.25,60,100,56.51,73
61,35,61,100,54,70.67,65,90,59.17,62
97,100,100,100,88,89.83,80,100,74.17,85
100,90,90,100,97,95.83,90,90,60,77
100,90,100,92.5,88,92.33,50,90,69.66,80
100,90,85,100,100,99,100,100,93.33,95
100,100,100,100,100,100,100,90,94.17,97
57,35,0,92.5,61,44.92,0,0,0,18
100,95,81,100,97,85,60,90,80,85
100,35,67,92.5,76.5,85.5,90,70,57.08,66
100,90,100,95,82,85.67,75,100,72.92,83
0,0,0,95,64.5,0,0,0,0,8
96,85,100,100,88,89,70,100,65,78
61,65,100,100,90,61.33,75,90,64.01,72
100,80,100,100,100,94,80,90,51.67,72
92,87,95,90,100,99,90,100,94.17,94
100,95,100,97.5,91,90.33,80,100,44.17,70
100,35,74,100,97,79.17,65,70,62.5,69
57,45,72,90,100,82.25,55,80,52.5,61
86,59,90,100,78,81.67,75,100,51.67,67
100,100,100,100,100,100,100,100,99.17,100
100,70,100,90,72,88.75,90,100,83.33,86
96,0,90,90,85,95,80,100,63.33,70
74,36,60,97.5,72,75.83,60,90,44.58,56
100,60,66,97.5,63,73.83,60,90,48.75,62
49,15,40,90,81,62.33,45,90,16.67,35
60,70,100,100,88,87.42,65,100,56.25,69
100,35,80,82.5,94,58.33,50,90,47.08,60
53,34,59,90,100,99,100,100,88.33,81
100,60,88,100,97,76.67,75,90,60,73
100,65,85,100,79,75.83,85,100,73.33,79
46,36,87,87.5,84,50.83,70,70,32.5,48
93,10,29,97.5,94,85,70,100,61.25,64
98,63,65,90,56.25,68,75,90,0,38
81,42,57,100,64,70.08,60,90,60.83,65
88,65,75,97.5,88,94,70,80,56.67,69
97,75,45,92.5,82,57.5,90,90,46.67,62
89,90,91,100,88,90.83,90,100,80.5,86
100,100,100,100,97,93.33,90,100,93.33,96
89,59,100,85,75,72.17,85,80,90.42,86
97,90,100,85,94,97.5,90,90,51.67,73
85,37,67,100,78,31,55,90,66.67,67
100,100,100,100,84,95,95,100,89.17,93
92,100,40,0,100,100,95,90,26.67,52
90,90,96,100,81,85.83,90,90,56.67,74
76,50,98,100,97,90.33,90,90,53.33,69
90,42,83,100,87,59.83,65,90,40.83,58
62,63,81,90,69,68.33,50,100,69.17,71
100,90,86,100,0,79.83,75,100,41.67,62
0,34,32,100,0,59.58,55,0,43.33,38
100,81,70,97.5,100,73.33,80,100,84.17,86
97,98,90,95,90,64.83,60,100,44.17,66
100,100,0,97.5,94,63.17,90,100,97.5,88
100,100,98,90,91,90.67,70,100,44.58,69
100,100,99,100,97,75,80,90,60.08,77
100,100,100,87.5,88,92.33,85,100,86.67,91
95,100,97,75,97,97.5,90,100,49.17,72
97,100,79,92.5,100,85,70,100,48.33,70
100,100,100,100,87,88,70,100,68.33,81
0,68,83,90,0,65.83,40,0,38.33,42
100,97,93,95,90,72.83,70,100,60,76
100,100,99,92.5,79,80.67,70,100,91.5,92
100,91,100,90,88,82.58,90,100,74.58,84
91,34,94,70,63,73.83,45,80,11.67,41
95,98,98,100,87,90,60,80,60.42,75
91,35,85,100,81,94.67,100,100,54.17,68
0,97,91,95,85,84.58,60,100,65.83,70
100,92,98,77.5,63,57.92,55,100,25,54
100,89,90,80,82,83.83,90,80,60.83,74
100,93,100,100,100,80.5,100,100,40.83,69
100,92,100,100,97,84.83,50,100,60.83,76
100,88,89,95,81,70.83,65,90,44.17,65
100,80,83,97.5,87,98.33,80,100,36.67,63
100,85,51,100,88,96.67,75,90,72.99,79
99,97,94,100,82,86.25,70,90,75.83,83
100,0,97,72.5,97,69.92,50,0,37.92,50
99,100,62,82.5,67,86.5,65,100,66.25,75
51,65,68,95,100,42.83,65,70,85.92,77
73,0,91,100,84,77.17,70,90,59.17,64
100,100,86,85,78,74.17,55,90,42.92,64
